,spearman,pval,FDR
CDS1,-0.0730086702860384,0.6458857104753358,False
RKM3,-0.126813062150555,0.4235490982901255,False
RPL4A,-0.5394214407260352,0.0002275535042473,True
YBR032W,-0.1892067093428409,0.2301117916680788,False
EDS1,-0.0503200713070253,0.7516455547548426,False
HMT1,-0.1935823677173649,0.219313434776379,False
PDX3,0.5856089457904546,4.620609671943759e-05,True
CSG2,-0.2128676768495259,0.1759026488192793,False
SCO1,-0.047078842881452,0.7671825124932671,False
CHS2,0.0313588850174216,0.8437148432948447,False
ATP3,0.4901547686573211,0.0009840440775208,True
FIG1,-0.4135975044924785,0.0064765300931579,True
FAT1,-0.4227372174053966,0.0052862872629536,True
CST26,-0.1759176727979904,0.2651123742409377,False
QDR3,-0.1955271047727089,0.2146283477788321,False
TCM62,-0.1410744672230775,0.3728518780368319,False
GIP1,-0.2895227291143343,0.0629209426311376,False
ZTA1,0.6034357021311078,2.3351885286307827e-05,True
FMP23,-0.0028360748723766,0.9857782981979716,False
RPS11B,-0.1798071469086784,0.2545224937060101,False
REB1,-0.0723604246009237,0.6488252973718487,False
REG2,-0.0086738009718802,0.956523101955152,False
YBR051W,-0.0729183553490847,0.6462949423239319,False
RFS1,0.8343732274532049,6.68026726576535e-12,True
YBR053C,0.6742565432298843,9.809948368415322e-07,True
YRO2,0.6152661858844501,1.450752526168891e-05,True
PRP6,0.0057531804553925,0.9711548393391588,False
YBR056W,0.5828539016287173,5.116356425078659e-05,True
MUM2,0.0154768657321124,0.9225037795089636,False
UBP14,-0.0172595413661777,0.913609411080166,False
AKL1,0.1874240337087756,0.2346136389028233,False
ORC2,-0.3383032169192124,0.0284260721676615,False
TRM7,-0.0323312535450935,0.8389316932167095,False
YBR062C,0.1686249088404505,0.2857452028932895,False
YBR063C,-0.1117413499716392,0.4811068053941761,False
YBR064W,0.0554872644813395,0.7270777009734766,False
ECM2,-0.0336291074381619,0.8325563934805348,False
NRG2,0.579612673203144,5.761340505682106e-05,True
TIP1,-0.63228263511871,7.064628816664179e-06,True
BAP2,0.4875617859168625,0.0010565907298398,True
TAT1,-0.2849850093185317,0.0673520330849812,False
ALG14,0.2934122032250223,0.0593102079320404,False
YBR071W,-0.2522486022202415,0.1070478424952045,False
HSP26,0.1525808281338627,0.3347155942780835,False
RDH54,-0.2563001377522081,0.1013415458088993,False
PFF1,-0.4318126569970018,0.0042972015163656,True
ECM8,0.388132327601519,0.0110878152260672,False
SLM4,0.2284255732922778,0.1456671413399656,False
ECM33,0.153391135240256,0.3321244985334638,False
