name,dGal4_med15mnase,dMig3_med15mnase,dMsn2_med15mnase
MPD2,344.4515311440389,223.43878723038102,746.2285685176387
HAL9,441.1573488906174,238.00465827655577,759.4447571577462
MSH2,78.57777579164076,160.46333614554254,122.73379911859887
SPO21,0.0,0.0,0.0
YPQ1,162.79277552568365,142.8028055511932,128.12432832857607
TRM10,28.28524796694326,99.06792762151147,249.3643052528097
RFC4,28.28524796694326,99.06792762151147,249.3643052528097
HMI1,11.191020568612355,172.60722903290073,39.150318719173896
COQ3,75.42227350660139,0.0,14.407533474331547
WRS1,45.13858181299987,0.0,63.37254740649221
SDD3,217.6696079975797,218.9208147717889,343.4463728510269
YOL099C,0.0,0.0,0.0
PKH2,1124.1559940993632,1000.3420536537735,1147.93722379979
IZH4,1604.0811387085676,1480.1753313529862,1673.1442739337003
TPT1,121.32415967198138,62.1982411236619,83.99819349599393
ITR2,2786.09384551759,3045.6190180350377,3806.9126875002594
NDJ1,0.0,0.0,0.0
WSC3,465.2927653927526,467.79493305320955,526.5296073696567
YOL106W,0.0,0.0,0.0
YOL107W,1754.6557437350202,1796.0997901017204,982.7927370874031
INO4,1754.6557437350202,1796.0997901017204,982.7927370874031
ZEO1,15768.775006807824,18061.37064885147,13818.900863755513
SHR5,7305.748393620503,5924.649110361996,6608.856501668096
MDY2,7305.748393620503,5924.649110361996,6608.856501668096
MSB4,686.5136242212359,1000.5444968942552,1226.9274544651705
SKM1,3261.1685895161554,5280.7495900246995,2371.5063842129694
PTH4,3261.1685895161554,5280.7495900246995,2371.5063842129694
PAP2,216.04669276552045,418.2985895460968,187.9591295268382
MSN1,395.81455033729105,592.0609335698368,858.8420996568104
RRI2,283.35289689275885,281.48847367219236,327.3941259470267
YOL118C,0.0,0.0,0.0
MCH4,1561.421348116465,1520.6196789685876,2320.3366645006236
RPL18A,757.2259513637293,1171.564615625267,1187.8428470473268
RPS19A,1346.3237873002931,1378.7708274336208,2202.667835564689
SMF1,2433.5419986584006,2133.785016893414,3412.109777409012
HRP1,673.2489539138769,891.942473418716,916.9160333682778
TRM11,673.2489539138769,891.942473418716,916.9160333682778
TRM13,7367.036442043607,8409.358842649159,8393.931286585617
MDH2,8115.841853321899,9381.581351219793,9120.595672279975
RPL25,630.1594591780304,665.7167842740287,535.0863569750243
