name,dependence
YDR271C,not_checked
GLO2,tail_independent
DON1,no_call
YDR274C,not_checked
BSC2,tail_independent
PMP3,tail_dependent
MTH1,tail_independent
YDR278C,not_checked
RNH202,tail_independent
RRP45,tail_independent
PHM6,no_call
MRX10,tail_independent
GCN2,tail_independent
DPP1,tail_independent
ZIP1,tail_independent
MGP12,tail_independent
INM2,tail_independent
NSE3,tail_independent
RTT103,tail_independent
YDR290W,not_checked
HRQ1,tail_independent
SRP101,tail_independent
SSD1,tail_independent
DPL1,tail_independent
HDA2,tail_independent
MHR1,tail_independent
SUR2,tail_independent
ATP5,tail_independent
BFR2,tail_independent
PRO1,tail_independent
CFT1,tail_independent
GPI11,tail_independent
RSC3,tail_independent
CPR5,tail_independent
HNT2,tail_independent
PFU1,tail_independent
PMT7,tail_independent
SRB7,tail_independent
GIC2,tail_independent
SUM1,tail_independent
TFB1,tail_independent
SSF2,tail_independent
PIB1,tail_independent
RAD34,tail_independent
IPK1,tail_independent
OMS1,tail_independent
HIM1,no_call
MCM21,tail_independent
YFT2,tail_independent
SWA2,tail_independent
ASP1,tail_independent
MRPL35,tail_independent
PEP7,tail_independent
UTP4,tail_independent
YCG1,tail_independent
YSP2,tail_independent
YDR327W,not_checked
SKP1,tail_independent
PEX3,tail_independent
UBX5,tail_independent
GPI8,tail_independent
IRC3,tail_independent
RQC1,tail_independent
SWR1,tail_independent
MSN5,tail_independent
MRX8,tail_independent
MRPS28,tail_independent
YDR338C,tail_independent
FCF1,tail_independent
YDR340W,not_checked
YDR341C,tail_independent
HXT7,no_call
HXT6,no_call
YDR344C,not_checked
HXT3,tail_dependent
SVF1,tail_independent
MRP1,tail_independent
PAL1,tail_independent
YPS7,tail_independent
ATP22,tail_independent
SBE2,tail_independent
YPQ2,tail_independent
TRR1,tail_independent
TRP4,tail_independent
YDR355C,not_checked
SPC110,tail_independent
CNL1,tail_independent
GGA1,tail_independent
EAF1,tail_independent
OPI7,not_checked
BCP1,tail_independent
TFC6,tail_independent
ESC2,tail_independent
CDC40,tail_independent
ESF1,tail_independent
YDR366C,not_checked
